state,direction,id,official_name,official_class,source_path,source_sha256
PLAY,CLIENTBOUND,0x4C,recipe_book_settings,net.minecraft.network.protocol.game.ClientboundRecipeBookSettingsPacket,net/minecraft/network/protocol/game/ClientboundRecipeBookSettingsPacket.java,820299978d005ad44561b3de8825ca94ef5b6496b4c77895c947d52193a62c62
PLAY,CLIENTBOUND,0x4D,remove_entities,net.minecraft.network.protocol.game.ClientboundRemoveEntitiesPacket,net/minecraft/network/protocol/game/ClientboundRemoveEntitiesPacket.java,893bef896f74523b0e4389c6076732b30a933d57a4f80e4b308b0b6131ebd6b4
PLAY,CLIENTBOUND,0x4E,remove_mob_effect,net.minecraft.network.protocol.game.ClientboundRemoveMobEffectPacket,net/minecraft/network/protocol/game/ClientboundRemoveMobEffectPacket.java,a40b4fc4e901c915408bbec837ce26b486a7de41db2c00aa12885732d49edea8
PLAY,CLIENTBOUND,0x4F,reset_score,net.minecraft.network.protocol.game.ClientboundResetScorePacket,net/minecraft/network/protocol/game/ClientboundResetScorePacket.java,2c0b349cdb409f12f0679f3e2027209960d63397e40ce0943201640ecb0571f0
PLAY,CLIENTBOUND,0x50,resource_pack_pop,net.minecraft.network.protocol.common.ClientboundResourcePackPopPacket,net/minecraft/network/protocol/common/ClientboundResourcePackPopPacket.java,9216ef17435212c1d379a3bd4dc71bff87d4ec177cfdf4b8b7c95e48815c3d2b
PLAY,CLIENTBOUND,0x51,resource_pack_push,net.minecraft.network.protocol.common.ClientboundResourcePackPushPacket,net/minecraft/network/protocol/common/ClientboundResourcePackPushPacket.java,0881f7f4415e3716055a0d39a7d019735313407d12bf7fe0eabef903e2bc93cd
PLAY,CLIENTBOUND,0x52,respawn,net.minecraft.network.protocol.game.ClientboundRespawnPacket,net/minecraft/network/protocol/game/ClientboundRespawnPacket.java,6ec5424fbf5c2fa6d7a2b334d58c00db32b5f1b36e83991f65312cb7185776e0
PLAY,CLIENTBOUND,0x53,rotate_head,net.minecraft.network.protocol.game.ClientboundRotateHeadPacket,net/minecraft/network/protocol/game/ClientboundRotateHeadPacket.java,d9fae5803283dc6310fa63f95870a495912eba2810b18d4fb3469bf5edc64356
PLAY,CLIENTBOUND,0x54,section_blocks_update,net.minecraft.network.protocol.game.ClientboundSectionBlocksUpdatePacket,net/minecraft/network/protocol/game/ClientboundSectionBlocksUpdatePacket.java,e3e1686433f3937e2ced6fe14c9c3abd0f1055e2ca79879e40ed9105bd365ffb
PLAY,CLIENTBOUND,0x55,select_advancements_tab,net.minecraft.network.protocol.game.ClientboundSelectAdvancementsTabPacket,net/minecraft/network/protocol/game/ClientboundSelectAdvancementsTabPacket.java,979598f9ac4762b05ec3cb9d06c018c24359f2fe7033659769892117fa20fb44
PLAY,CLIENTBOUND,0x56,server_data,net.minecraft.network.protocol.game.ClientboundServerDataPacket,net/minecraft/network/protocol/game/ClientboundServerDataPacket.java,939b85161b648a68e3c497be96cdedfdf0098c26591b9b6eb5df1948cc49c27e
PLAY,CLIENTBOUND,0x57,set_action_bar_text,net.minecraft.network.protocol.game.ClientboundSetActionBarTextPacket,net/minecraft/network/protocol/game/ClientboundSetActionBarTextPacket.java,8eb54c932a993ba423a65f9a77d513b55b400778ad392fccf97355998bed49b6
PLAY,CLIENTBOUND,0x58,set_border_center,net.minecraft.network.protocol.game.ClientboundSetBorderCenterPacket,net/minecraft/network/protocol/game/ClientboundSetBorderCenterPacket.java,b2af1dfd62626e686ebe308440eaeca9738f846b6e95b80f3b78789bc4c1f6be
PLAY,CLIENTBOUND,0x59,set_border_lerp_size,net.minecraft.network.protocol.game.ClientboundSetBorderLerpSizePacket,net/minecraft/network/protocol/game/ClientboundSetBorderLerpSizePacket.java,d5f03af830d31ae71c2c97f7ab62721a23bd86d708ad0872114bc2680a05c14e
PLAY,CLIENTBOUND,0x5A,set_border_size,net.minecraft.network.protocol.game.ClientboundSetBorderSizePacket,net/minecraft/network/protocol/game/ClientboundSetBorderSizePacket.java,319184ceb5ce3e5707552aa31413850ba95f3d19b96e1ef860008f79b767ade4
PLAY,CLIENTBOUND,0x5B,set_border_warning_delay,net.minecraft.network.protocol.game.ClientboundSetBorderWarningDelayPacket,net/minecraft/network/protocol/game/ClientboundSetBorderWarningDelayPacket.java,14c8fca73ccc29682c451408f77b0b592435e411af73ea2b7228a733e5d15669
PLAY,CLIENTBOUND,0x5C,set_border_warning_distance,net.minecraft.network.protocol.game.ClientboundSetBorderWarningDistancePacket,net/minecraft/network/protocol/game/ClientboundSetBorderWarningDistancePacket.java,34e442810047f486cc16e8de2ac57921e37f740b879e728b95ee590a65673372
PLAY,CLIENTBOUND,0x5D,set_camera,net.minecraft.network.protocol.game.ClientboundSetCameraPacket,net/minecraft/network/protocol/game/ClientboundSetCameraPacket.java,f58a9f932ba8c4ebb54fed2385fb03ddcef41a81013372ab3cb984097b29267c
PLAY,CLIENTBOUND,0x5E,set_chunk_cache_center,net.minecraft.network.protocol.game.ClientboundSetChunkCacheCenterPacket,net/minecraft/network/protocol/game/ClientboundSetChunkCacheCenterPacket.java,02f1d994ad9380df652015881785f9aa6fb846ecaf1a58d08ce71b96de10ce49
PLAY,CLIENTBOUND,0x5F,set_chunk_cache_radius,net.minecraft.network.protocol.game.ClientboundSetChunkCacheRadiusPacket,net/minecraft/network/protocol/game/ClientboundSetChunkCacheRadiusPacket.java,be9381cc233cd041420516278383e36e7d09b71acd649966987a86954ce10674
PLAY,CLIENTBOUND,0x60,set_cursor_item,net.minecraft.network.protocol.game.ClientboundSetCursorItemPacket,net/minecraft/network/protocol/game/ClientboundSetCursorItemPacket.java,343057a06047eda735a15aebec2ceec1368356cefaa3321fbdb9589956351bcf
PLAY,CLIENTBOUND,0x61,set_default_spawn_position,net.minecraft.network.protocol.game.ClientboundSetDefaultSpawnPositionPacket,net/minecraft/network/protocol/game/ClientboundSetDefaultSpawnPositionPacket.java,f73bf95978754e4b4f1fbd0df77f2db0e98ff79de063413c102595f13f171bf8
PLAY,CLIENTBOUND,0x62,set_display_objective,net.minecraft.network.protocol.game.ClientboundSetDisplayObjectivePacket,net/minecraft/network/protocol/game/ClientboundSetDisplayObjectivePacket.java,235ada77ff063b7b2e5b9d685c695136674be20f069fc03a1bfcbb908bf8b5a3
PLAY,CLIENTBOUND,0x63,set_entity_data,net.minecraft.network.protocol.game.ClientboundSetEntityDataPacket,net/minecraft/network/protocol/game/ClientboundSetEntityDataPacket.java,80c0249728248f62e3c1bf97b6c77c257147514e81812985e4231a70f0c8f3f1
PLAY,CLIENTBOUND,0x64,set_entity_link,net.minecraft.network.protocol.game.ClientboundSetEntityLinkPacket,net/minecraft/network/protocol/game/ClientboundSetEntityLinkPacket.java,b4ae03cdadc201c537c0e2f2a3863bcbf4a21d78d2909916ae697102166b8cf7
PLAY,CLIENTBOUND,0x65,set_entity_motion,net.minecraft.network.protocol.game.ClientboundSetEntityMotionPacket,net/minecraft/network/protocol/game/ClientboundSetEntityMotionPacket.java,f0cd17ccf1af750ebd109a6e026c046ed32817442ddaae9972fcec3ec590763e
PLAY,CLIENTBOUND,0x66,set_equipment,net.minecraft.network.protocol.game.ClientboundSetEquipmentPacket,net/minecraft/network/protocol/game/ClientboundSetEquipmentPacket.java,7742f8ff90980677ed14b3b8441ebc7dc671e9ab1ea801445973f10dc482f141
PLAY,CLIENTBOUND,0x67,set_experience,net.minecraft.network.protocol.game.ClientboundSetExperiencePacket,net/minecraft/network/protocol/game/ClientboundSetExperiencePacket.java,e120a9fb94d34958065d181f05ecc1d45859cf8de86093a6a4c196a0ee999edb
PLAY,CLIENTBOUND,0x68,set_health,net.minecraft.network.protocol.game.ClientboundSetHealthPacket,net/minecraft/network/protocol/game/ClientboundSetHealthPacket.java,ee3b3495cba1fe67cc48d28c2303c40fbc09e20face7a3fe36808fb41d5a3581
PLAY,CLIENTBOUND,0x69,set_held_slot,net.minecraft.network.protocol.game.ClientboundSetHeldSlotPacket,net/minecraft/network/protocol/game/ClientboundSetHeldSlotPacket.java,11d6990002e86507c175bd6f77b2f8c373c071d1bfc30e335266f04a720cbe5b
